26-Aug-24,6,8,18,34,35,37,33
22-Aug-24,2,5,8,43,45,48,41
19-Aug-24,2,3,16,26,29,41,12
15-Aug-24,15,24,35,36,42,46,48
12-Aug-24,2,8,27,33,34,43,11
8-Aug-24,23,26,32,36,41,49,31
5-Aug-24,1,12,15,30,42,43,22
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
=======,,,,,,,
10,11,16,24,34,35,1,
2,3,4,16,22,39,48,
4,13,22,36,38,46,12,
1,4,18,24,37,42,26,
22,25,29,31,34,43,11,
9,24,31,34,43,44,1,
2,15,28,39,42,44,5,
30,32,40,43,45,49,5,
7,19,20,21,22,29,37,
2,14,16,21,36,47,1,
9,11,24,32,39,49,26,
2,5,10,12,14,37,17,
7,8,17,29,32,42,1,
2,8,19,29,38,41,20,
12,21,26,27,35,44,10,
10,15,17,33,36,45,34,
6,15,16,17,25,34,31,
11,27,31,33,34,36,13,
10,26,28,35,37,46,20,
2,15,29,37,45,49,24,
1,10,37,40,45,47,19,
5,18,27,32,48,49,21,
3,7,38,41,44,49,20,
7,10,11,21,32,48,27,
2,5,25,26,29,30,42,
10,19,21,22,28,31,34,
1,5,7,11,19,47,44,
5,9,15,28,46,48,8,
3,10,32,34,44,48,29,
2,15,17,18,39,45,26,
9,16,17,20,34,38,18,
6,16,20,23,40,48,45,
9,13,17,39,46,47,22,
5,8,28,38,40,43,39,
2,8,12,30,35,49,38,
3,8,12,18,24,41,11,
17,19,21,23,30,40,33,
1,17,30,37,41,43,32,
15,17,26,31,40,46,19,
6,14,29,30,35,42,25,
14,26,27,30,46,48,10,
7,19,35,40,43,47,33,
12,14,15,16,21,40,23,
9,12,17,23,29,46,20,
21,22,27,35,40,42,3,
18,19,25,28,31,44,34,
9,10,11,13,23,42,20,
7,30,39,42,43,48,33,
16,26,34,36,42,49,41,
5,7,32,38,42,47,27,
19,33,35,38,46,49,39,
4,16,24,25,43,49,46,
2,10,13,15,37,40,28,
24,37,38,42,48,49,31,
3,25,31,37,39,42,21,
1,16,23,39,41,42,9,
5,8,13,28,30,49,17,
1,3,7,18,34,39,46,
16,18,22,23,28,35,32,
1,12,29,31,41,48,25,
2,9,13,24,26,43,49,
7,16,22,26,33,43,44,
9,10,18,35,43,49,42,
3,5,6,16,32,49,4,
6,13,18,27,35,46,48,
3,7,11,13,34,35,17,
13,32,34,36,38,40,37,
6,10,13,27,41,49,4,
9,11,24,29,39,46,31,
3,10,13,29,32,46,18,
8,21,30,35,44,49,39,
34,40,42,44,45,46,19,
3,9,10,20,23,32,42,
13,19,22,26,40,49,45,
17,18,19,31,32,33,8,
1,4,8,10,16,46,23,
8,14,15,20,31,49,13,
10,11,12,21,41,49,44,
1,2,4,15,18,24,35,
26,28,31,38,41,42,23,
4,7,11,14,21,28,36,
1,2,14,36,44,46,20,
12,16,29,36,39,40,37,
13,28,39,43,46,48,30,
4,12,17,18,23,34,28,
14,18,25,28,29,44,36,
2,6,10,17,18,49,35,
10,16,33,37,45,47,6,
20,24,28,37,46,47,36,
4,13,19,44,46,49,31,
2,4,10,25,36,38,22,
12,33,39,42,43,48,10,
1,17,24,25,27,39,30,
16,22,23,31,41,49,8,
2,9,15,17,40,48,28,
4,33,34,38,40,43,15,
17,23,26,31,38,40,14,
9,20,22,32,37,47,1,
7,13,17,22,31,37,1,
2,8,15,19,33,38,21,
5,6,14,36,45,49,12,
1,4,10,16,18,29,6,
1,13,27,38,40,43,2,
6,7,13,30,37,39,16,
3,9,10,12,27,41,29,
6,8,18,34,35,37,33,
2,5,8,43,45,48,41,
2,3,16,26,29,41,12,
15,24,35,36,42,46,48,
2,8,27,33,34,43,11,
23,26,32,36,41,49,31,
1,12,15,30,42,43,22,
>>>>>>> d63a4cf846b0afb0e7cecde3afba08b96a0564cc,,,,,,,
